"time" "n_samples" "n_cells" "surv" "CL" "zt" "er" "b"
"120" 360 483 301 "one_step_00" "0.8/0.9" "2500" "100" "0"
"121" 12 200 194 "one_step_00" "0.8/0.9" "2500" "100" "50"
"122" 24 200 192 "one_step_00" "0.8/0.9" "2500" "100" "50"
"123" 36 486 431 "one_step_00" "0.8/0.9" "2500" "100" "50"
"124" 48 486 459 "one_step_00" "0.8/0.9" "2500" "100" "50"
"125" 60 486 453 "one_step_00" "0.8/0.9" "2500" "100" "50"
"126" 72 486 451 "one_step_00" "0.8/0.9" "2500" "100" "50"
"127" 84 486 456 "one_step_00" "0.8/0.9" "2500" "100" "50"
"128" 96 486 437 "one_step_00" "0.8/0.9" "2500" "100" "50"
"129" 108 486 442 "one_step_00" "0.8/0.9" "2500" "100" "50"
"130" 120 486 434 "one_step_00" "0.8/0.9" "2500" "100" "50"
"131" 132 486 435 "one_step_00" "0.8/0.9" "2500" "100" "50"
"132" 144 486 426 "one_step_00" "0.8/0.9" "2500" "100" "50"
"133" 156 486 428 "one_step_00" "0.8/0.9" "2500" "100" "50"
"134" 168 486 430 "one_step_00" "0.8/0.9" "2500" "100" "50"
"135" 180 486 426 "one_step_00" "0.8/0.9" "2500" "100" "50"
"136" 192 485 409 "one_step_00" "0.8/0.9" "2500" "100" "50"
"137" 204 486 411 "one_step_00" "0.8/0.9" "2500" "100" "50"
"138" 216 486 410 "one_step_00" "0.8/0.9" "2500" "100" "50"
"139" 228 486 403 "one_step_00" "0.8/0.9" "2500" "100" "50"
"140" 240 486 410 "one_step_00" "0.8/0.9" "2500" "100" "50"
"141" 252 486 408 "one_step_00" "0.8/0.9" "2500" "100" "50"
"142" 264 486 409 "one_step_00" "0.8/0.9" "2500" "100" "50"
"143" 276 486 399 "one_step_00" "0.8/0.9" "2500" "100" "50"
"144" 288 485 411 "one_step_00" "0.8/0.9" "2500" "100" "50"
"145" 300 485 396 "one_step_00" "0.8/0.9" "2500" "100" "50"
"146" 312 486 390 "one_step_00" "0.8/0.9" "2500" "100" "50"
"147" 324 486 405 "one_step_00" "0.8/0.9" "2500" "100" "50"
"148" 336 486 404 "one_step_00" "0.8/0.9" "2500" "100" "50"
"149" 348 486 376 "one_step_00" "0.8/0.9" "2500" "100" "50"
"150" 360 485 374 "one_step_00" "0.8/0.9" "2500" "100" "50"
"151" 12 200 194 "one_step_00" "0.8/0.9" "2500" "100" "90"
"152" 24 485 378 "one_step_00" "0.8/0.9" "2500" "100" "90"
"153" 36 486 442 "one_step_00" "0.8/0.9" "2500" "100" "90"
"154" 48 486 446 "one_step_00" "0.8/0.9" "2500" "100" "90"
"155" 60 486 449 "one_step_00" "0.8/0.9" "2500" "100" "90"
"156" 72 486 449 "one_step_00" "0.8/0.9" "2500" "100" "90"
"157" 84 486 438 "one_step_00" "0.8/0.9" "2500" "100" "90"
"158" 96 486 441 "one_step_00" "0.8/0.9" "2500" "100" "90"
"159" 108 486 446 "one_step_00" "0.8/0.9" "2500" "100" "90"
"160" 120 486 444 "one_step_00" "0.8/0.9" "2500" "100" "90"
"161" 132 486 437 "one_step_00" "0.8/0.9" "2500" "100" "90"
"162" 144 486 451 "one_step_00" "0.8/0.9" "2500" "100" "90"
"163" 156 486 438 "one_step_00" "0.8/0.9" "2500" "100" "90"
"164" 168 486 426 "one_step_00" "0.8/0.9" "2500" "100" "90"
"165" 180 486 433 "one_step_00" "0.8/0.9" "2500" "100" "90"
"166" 192 486 430 "one_step_00" "0.8/0.9" "2500" "100" "90"
"167" 204 486 429 "one_step_00" "0.8/0.9" "2500" "100" "90"
"168" 216 486 419 "one_step_00" "0.8/0.9" "2500" "100" "90"
"169" 228 486 420 "one_step_00" "0.8/0.9" "2500" "100" "90"
"170" 240 486 423 "one_step_00" "0.8/0.9" "2500" "100" "90"
"171" 252 485 403 "one_step_00" "0.8/0.9" "2500" "100" "90"
"172" 264 485 406 "one_step_00" "0.8/0.9" "2500" "100" "90"
"173" 276 485 394 "one_step_00" "0.8/0.9" "2500" "100" "90"
"174" 288 486 412 "one_step_00" "0.8/0.9" "2500" "100" "90"
"175" 300 485 419 "one_step_00" "0.8/0.9" "2500" "100" "90"
"176" 312 485 414 "one_step_00" "0.8/0.9" "2500" "100" "90"
"177" 324 485 397 "one_step_00" "0.8/0.9" "2500" "100" "90"
"178" 336 486 411 "one_step_00" "0.8/0.9" "2500" "100" "90"
"179" 348 486 405 "one_step_00" "0.8/0.9" "2500" "100" "90"
"180" 360 486 411 "one_step_00" "0.8/0.9" "2500" "100" "90"
"181" 12 200 197 "one_step_00" "0.8/0.9" "5000" "50" "0"
"182" 24 480 284 "one_step_00" "0.8/0.9" "5000" "50" "0"
"183" 36 486 449 "one_step_00" "0.8/0.9" "5000" "50" "0"
"184" 48 486 460 "one_step_00" "0.8/0.9" "5000" "50" "0"
"185" 60 486 460 "one_step_00" "0.8/0.9" "5000" "50" "0"
"186" 72 486 454 "one_step_00" "0.8/0.9" "5000" "50" "0"
"187" 84 486 450 "one_step_00" "0.8/0.9" "5000" "50" "0"
"188" 96 486 447 "one_step_00" "0.8/0.9" "5000" "50" "0"
"189" 108 486 461 "one_step_00" "0.8/0.9" "5000" "50" "0"
"190" 120 486 456 "one_step_00" "0.8/0.9" "5000" "50" "0"
"191" 132 486 452 "one_step_00" "0.8/0.9" "5000" "50" "0"
"192" 144 486 451 "one_step_00" "0.8/0.9" "5000" "50" "0"
"193" 156 486 448 "one_step_00" "0.8/0.9" "5000" "50" "0"
"194" 168 486 447 "one_step_00" "0.8/0.9" "5000" "50" "0"
"195" 180 486 436 "one_step_00" "0.8/0.9" "5000" "50" "0"
"196" 192 486 419 "one_step_00" "0.8/0.9" "5000" "50" "0"
"197" 204 485 425 "one_step_00" "0.8/0.9" "5000" "50" "0"
"198" 216 485 415 "one_step_00" "0.8/0.9" "5000" "50" "0"
"199" 228 485 396 "one_step_00" "0.8/0.9" "5000" "50" "0"
"200" 240 484 362 "one_step_00" "0.8/0.9" "5000" "50" "0"
"201" 252 483 357 "one_step_00" "0.8/0.9" "5000" "50" "0"
"202" 264 483 341 "one_step_00" "0.8/0.9" "5000" "50" "0"
"203" 276 483 350 "one_step_00" "0.8/0.9" "5000" "50" "0"
"204" 288 483 326 "one_step_00" "0.8/0.9" "5000" "50" "0"
